app,path,name,source_file,auth,corp_context,permission,render_target
dashboard,*,-,web/legacy/dashboard/src/router/base/error.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/,/,web/legacy/dashboard/src/router/router.config.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/404,404,web/legacy/dashboard/src/router/base/error.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/autoTag/dayPartCreate,/autoTagDayPartCreate,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/autoTag/dayPartIndex,/autoTagDayPartIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/autoTag/dayPartShow,/autoTagDayPartShow,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/autoTag/joinRoomCreate,/autoTagJoinRoomCreate,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/autoTag/joinRoomIndex,/autoTagJoinRoomIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/autoTag/joinRoomShow,/autoTagJoinRoomShow,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/autoTag/keywordCreate,/autoTagKeyWordCreate,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/autoTag/keywordIndex,/autoTagKeyWordIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/autoTag/keywordShow,/autoTagKeyWordShow,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/channelCode/index,channelCodeIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,add;customer;download;edit;editGroup;move;search,dashboard-spa
dashboard,/channelCode/statistics,channelCodeStatistics,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/channelCode/store,channelCodeStore,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,confirm,dashboard-spa
dashboard,/chatTool/customer,customer,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/chatTool/enhance,chatEnhance,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/contactField/index,contactField,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,add;advanced;all;batch;close;edit,dashboard-spa
dashboard,/contactMessageBatchSend/index,contactMessageBatchSendIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/contactMessageBatchSend/show,contactMessageBatchSendShow,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/contactMessageBatchSend/store,contactMessageBatchSendStore,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/contactTransfer/resignAllotRecord,contactTransferResignAllotRecord,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/contactTransfer/resignIndex,contactTransferResignIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/contactTransfer/workAllotRecord,contactTransferWorkAllotRecord,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/contactTransfer/workIndex,contactTransferWorkIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/corp/index,corpIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,addwx;check;edit;search,react-dashboard
dashboard,/corpData/index,systemHomePage,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/department/index,departmentIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,check;search;sync,dashboard-spa
dashboard,/greeting/index,greetingIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,delete;edit,dashboard-spa
dashboard,/greeting/store,greetingStore,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,add,dashboard-spa
dashboard,/login,login,web/legacy/dashboard/src/router/base/index.js,public,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/lossContact/index,lossContact,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/mediumGroup/index,mediumGroupIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,add;delete;edit;editGroup;move,dashboard-spa
dashboard,/menu/index,menuIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,add;edit;search,dashboard-spa
dashboard,/officialAccount/create,officialAccountCreate,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/officialAccount/index,officialAccountIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,implicit-route-access,dashboard-spa
dashboard,/passwordUpdate/index,passwordUpdate,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,save,dashboard-spa
dashboard,/role/index,roleIndex,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,add;checkMember;copy;delete;edit;search;use,dashboard-spa
dashboard,/role/permissionShow,rolePermissionShow,web/legacy/dashboard/src/router/asyncRouter.js,ACCESS_TOKEN,dashboard-corp-context,save,dashboard-spa
